registration_id,name,email,phone,address,company_type,status,website
INZ000314637,Stable Broking Private Limited,shubhangi.dubey@stablemoney.in,7080414204,"Block A, Stable Money, Bhive HSR Premium Campus,  Third Floor, Bommanahalli, Krishna Reddy Industrial Area,  Bangalore, Karnataka  - 560068",Securities,ACTIVE,https://bonds.stablemoney.in/
INZ000158031,Trust Securities Services Private Limited,richa.gandhi@trustgroup.in,8082536452,"109/110, Balarama Bkc Bandra Mumbai Maharashtra-400051",Securities,ACTIVE,https://trustsecurities.in/
INZ000313336,Zephyr Financial Publishers  Private Limited,neelima@zephyr.org.in,9920453866,"502 SN 12 Behind Kothrud Stand Chaitanyapuri Society Dahanukar Colony Kothrud Pune - 411308",Securities,ACTIVE,https://inrbonds.com/about-us
INZ000310534,Credavenue Securities Private Limited,vigneshwar.mohandhas@aspero.in,9677104196,"12th Floor, Prestige Polygon, Annasalai, Nandanam, Chennai - 60035, Tamil Nadu",Securities,ACTIVE,https://www.aspero.in/
INZ000006031,Moneylicious Securities Private Limited,compliance@dhan.co,9833689823,"Unit No.2201, 22nd Floor, Gold Medal Avenue, S V Road, Beside Patel Petrol Pump, Piramal Nagar, Goregaon West Mumbai Maharashtra - 400104",Securities,ACTIVE,https://dhan.co/
INZ000318033,Fingeek Digital Private Limited,compliance@bondvue.com,7003039921,"226/1, AJC Bose Road , Trinity, Unit No. 3B, Kolkata, Kolkata, West Bengal, India, 700020",Securities,ACTIVE,
INZ000312534,Oro Financial Consultants Private Limited,compliance@incredmoney.com,022-69041538,"Unit No. 1203, 12th floor, B Wing, The Capital, Plot No. C - 70, G Block, BKC, Bandra East, Mumbai - 400 051",Securities,ACTIVE,https://www.biddeasy.com/
INZ000318831,Northern Arc Securities Private Limited,sornamukhi.j@northernarc.com,8925922526,"10th floor, E block, IITM RESEARCH PARK, Kanagam Rd, Kanagam, Tharamani, Chennai, Tamil Nadu 600113",Securities,ACTIVE,https://altifi.ai/landing
INZ000025734,Sunrise Gilts & Securities Pvt Ltd,info@sunrisegilts.co.in,9016962384,"514, 5Th Floor, Pinnacle Business Park, Opp Royal Orchid, Prahladnagar, Ahmedabad-380015, Gujarat",Securities,ACTIVE,https://www.sunrisegilts.com
INZ000213137,Nj India Invest Private Limited,varsha.saraf@njgroup.in,9725048460,"901, 9Th Floor, Udhna Udyognagar Sangh Commercial Complex, Central Road No 10, Udhna, Surat-394210, Gujarat",Securities,ACTIVE,https://www.njwealth.in
INZ000320834,Sustvest Broking Private Limited,Vandana.j@sustvest.com,8447218264,"SCO NO. 32, 2ND FLOOR, M3M 113 M3M MARKET, SECTOR 113, NARSINGHPUR, GURGAON, HARYANA - 122004",Securities,ACTIVE,https://sustvest.com/
INZ000008037,Monarch Networth Capital Limited,cs@mnclgroup.com,7208100881,"Unit No. 803-804A, Unit No. PO4-01D, Tower A, 8th Floor, X-Change Plaza, Block No 53, WTC Gift City, Block No. 51, Road 5 E, Zone 5, Road -5E, Gift City, Gandhinagar, Gujarat – 382355",Securities,ACTIVE,https://www.mnclgroup.com/
INZ000169839,Eureka Stock & Share Broking Services Limited,debomita@eurekasec.com,9836000908,"11th Floor, Merlin Infinite,1101,  DN-51 Salt Lake,  Sector 5, Bidhannagar, Kolkata - 700091",Securities,ACTIVE,https://www.eurekasec.com/
INZ000327831,Liquibonds India Pvt Ltd,secretarial@liquiloans.com,7738640169,"A-4005 Floor 40,plot 131/132, Indiabulls Blu A, Ganpatrao Kadam Marg, Worli, Delisle Road, Mumbai, Mumbai, Maharashtra, India, 400013",Securities,ACTIVE,https://www.liquibonds.in
